x		y		HR.State		HR		Stab.State		water.d		water.v		walk.speed		b.height		b.mass		gender
112.480		320.023		4		4.655		3		0.206		22.078		1.390		1.823		84.918		1
115.168		310.733		1		0.565		3		0.066		8.108		1.390		1.734		66.281		2
122.339		315.071		4		3.374		3		0.260		12.461		1.390		1.826		73.811		1
114.445		320.506		4		19.607		3		0.859		22.322		1.390		1.763		70.457		1
118.170		316.754		1		0.424		3		0.041		9.973		1.390		1.403		42.722		1
118.997		318.859		1		0.424		3		0.041		9.973		1.390		1.403		42.722		1
123.517		316.233		4		3.374		3		0.260		12.461		1.390		1.800		83.119		1
127.554		316.032		2		1.013		3		0.132		7.168		1.390		1.800		83.119		1
103.527		316.836		4		11.441		3		0.657		16.903		1.390		1.778		70.508		2
120.709		318.228		4		4.108		3		0.350		11.230		1.390		1.778		70.508		2
121.758		319.138		1		0.062		0		0.010		5.602		1.390		1.788		82.702		1
129.595		314.687		2		1.013		3		0.132		7.168		1.390		1.760		77.257		1
115.923		320.740		4		19.607		3		0.859		22.322		1.390		1.730		77.788		1
117.027		321.547		4		22.459		3		1.015		21.637		1.390		1.816		78.938		1
111.489		319.624		1		0.075		0		0.012		5.690		1.390		1.636		65.084		1
136.351		301.965		1		0.397		0		0.189		1.599		1.390		1.636		65.084		1
135.335		309.503		1		0.093		0		0.035		2.199		1.390		1.784		78.977		1
130.812		315.187		1		0.461		0		0.073		5.824		1.390		1.738		81.253		1
131.373		307.113		1		0.331		0		0.075		3.921		1.390		1.637		61.679		1
127.714		305.875		4		4.864		3		0.763		5.875		1.390		1.801		84.451		2
133.402		313.199		1		0.334		0		0.070		4.305		1.390		1.743		74.870		1
100.227		318.048		4		5.166		3		0.349		14.295		1.390		1.794		86.488		2
118.214		317.689		1		0.424		1		0.041		9.973		1.390		1.794		86.488		2
125.410		317.123		1		0.225		0		0.024		8.959		1.390		1.794		86.488		2
123.627		308.864		4		3.265		3		0.292		10.683		1.390		1.800		70.089		1
119.678		313.837		1		0.201		0		0.028		6.750		1.390		1.800		70.089		1
120.415		314.144		1		0.637		3		0.066		9.212		1.390		1.800		70.089		1
139.619		308.266		1		0.184		0		0.089		1.578		1.390		1.806		76.397		2
113.507		320.096		4		4.655		3		0.206		22.078		1.390		1.833		79.730		1
93.709		319.559		1		0.014		0		0.006		1.879		1.390		1.739		67.314		1
126.324		311.794		1		0.195		0		0.026		6.940		1.390		1.739		67.314		1
133.793		303.058		1		0.237		0		0.107		1.709		1.390		1.732		79.409		1
126.808		314.031		3		1.752		3		0.185		8.978		1.390		1.732		79.409		1
128.383		309.553		2		0.988		3		0.152		6.020		1.390		1.772		87.013		1
141.698		302.469		1		0.211		0		0.136		1.054		1.390		1.772		87.013		1
122.385		320.977		2		0.823		3		0.062		12.728		1.390		1.741		66.486		1
121.750		308.831		1		0.520		1		0.072		6.725		1.390		1.819		81.126		2
125.678		311.552		1		0.195		0		0.026		6.940		1.390		1.819		81.126		2
136.567		281.035		1		0.087		0		0.064		0.850		1.390		1.810		76.111		1
121.294		314.594		1		0.637		3		0.066		9.212		1.390		1.772		72.882		1
125.084		315.277		3		1.752		3		0.185		8.978		1.390		1.772		72.882		1
126.085		318.138		1		0.225		0		0.024		8.959		1.390		1.932		90.994		1
100.316		314.415		2		0.770		3		0.058		12.667		1.390		1.759		68.525		2
98.942		317.488		4		5.166		3		0.349		14.295		1.390		1.759		68.525		2
128.503		312.163		1		0.588		3		0.083		6.564		1.390		1.759		68.525		2
138.921		307.207		1		0.184		0		0.089		1.578		1.390		1.927		86.706		2
117.415		316.501		1		0.424		1		0.041		9.973		1.390		1.636		62.609		1
124.441		313.372		3		1.959		3		0.155		12.156		1.390		1.636		62.609		1
97.147		300.918		1		0.027		0		0.009		2.421		1.390		1.760		74.511		2
102.979		319.866		1		0.068		0		0.010		6.575		1.390		1.760		74.511		2
129.079		310.716		2		0.988		3		0.152		6.020		1.390		1.760		74.511		2
130.172		312.004		2		0.899		3		0.171		4.773		1.390		1.770		78.710		2
97.211		317.960		1		0.018		0		0.006		2.538		1.390		1.937		102.514		2
113.732		316.741		1		0.722		3		0.044		15.930		1.390		1.937		102.514		2
121.611		310.654		1		0.520		1		0.072		6.725		1.390		1.937		102.514		2
122.142		311.243		4		3.265		3		0.292		10.683		1.390		1.937		102.514		2
118.686		313.317		1		0.075		0		0.017		3.872		1.390		1.794		84.383		1
125.116		305.494		1		0.337		0		0.058		5.309		1.390		1.401		42.615		2
126.586		294.434		3		1.881		3		0.480		3.421		1.390		1.401		42.615		2
142.471		305.017		1		0.212		0		0.140		1.022		1.390		1.817		74.519		2
132.224		298.611		2		0.897		2		0.280		2.702		1.390		1.937		88.558		2
124.975		310.126		1		0.556		1		0.087		5.876		1.390		1.937		88.558		2
127.470		308.865		2		0.988		3		0.152		6.020		1.390		1.937		88.558		2
132.300		304.100		2		0.946		2		0.269		3.021		1.390		1.937		88.558		2
140.421		301.527		1		0.211		0		0.136		1.054		1.390		1.937		88.558		2
137.846		304.442		1		0.401		0		0.210		1.408		1.390		1.937		88.558		2
132.636		312.139		1		0.334		0		0.070		4.305		1.390		2.097		111.385		1
119.064		311.666		1		0.075		0		0.017		3.872		1.390		1.735		72.013		1
124.240		309.415		4		3.265		3		0.292		10.683		1.390		1.782		86.243		2
122.710		312.624		3		1.959		3		0.155		12.156		1.390		1.782		86.243		2
123.866		311.346		3		1.959		3		0.155		12.156		1.390		1.796		77.982		2
102.112		313.620		1		0.335		1		0.033		9.797		1.390		1.737		78.231		1
129.200		301.395		1		0.228		0		0.067		2.914		1.390		1.737		78.231		1
137.215		303.377		1		0.397		0		0.189		1.599		1.390		1.737		78.231		1
107.441		313.749		3		2.377		3		0.197		11.574		1.390		1.641		65.629		2
115.888		307.233		1		0.538		3		0.074		6.820		1.390		1.641		65.629		2
99.370		307.266		4		4.482		3		0.409		10.461		1.390		1.638		68.233		2
101.165		317.932		4		11.441		3		0.657		16.903		1.390		1.638		68.233		2
